experiment	condition	count
3	6mg/mL_2	0.245283019
3	6mg/mL_2	0.133333333
3	4mg/mL_2	0.237113402
3	2mg/mL_2	0.778761062
3	2mg/mL_2	0.550724638
3	4mg/mL_2	0.451612903
3	6mg/mL_2	0.341614907
3	6mg/mL_2	0.194029851
3	4mg/mL_2	0.683333333
3	2mg/mL_3	0.638297872
3	4mg/mL_3	0.851239669
3	6mg/mL_3	0.254716981
3	6mg/mL_3	0.096969697
3	4mg/mL_3	0.587628866
3	2mg/mL_3	1.03539823
3	2mg/mL_3	0.615942029
3	4mg/mL_3	0.822580645
3	6mg/mL_3	0.689440994
3	6mg/mL_3	0.328358209
3	4mg/mL_3	0.925
3	2mg/mL_4	0.872340426
3	4mg/mL_4	1.033057851
3	6mg/mL_4	0.349056604
3	6mg/mL_4	0.133333333
3	4mg/mL_4	1.010309278
3	2mg/mL_4	1.238938053
3	2mg/mL_4	0.673913043
3	4mg/mL_4	1.193548387
3	6mg/mL_4	0.98136646
3	6mg/mL_4	0.52238806
3	4mg/mL_4	1.325
3	2mg/mL_5	1.106382979
3	4mg/mL_5	1.140495868
3	6mg/mL_5	0.396226415
3	6mg/mL_5	0.2
3	4mg/mL_5	1.278350515
3	2mg/mL_5	1.336283186
3	2mg/mL_5	0.630434783
3	4mg/mL_5	1.516129032
3	6mg/mL_5	1.00621118
3	6mg/mL_5	0.597014925
3	4mg/mL_5	1.3
3	2mg/mL_6	1.234042553
3	4mg/mL_6	1.231404959
3	6mg/mL_6	0.462264151
3	6mg/mL_6	0.193939394
3	4mg/mL_6	1.711340206
3	2mg/mL_6	1.318584071
3	2mg/mL_6	0.695652174
3	4mg/mL_6	1.725806452
3	6mg/mL_6	1.136645963
3	6mg/mL_6	0.656716418
3	4mg/mL_6	1.3
3	2mg/mL_7	1.478723404
3	4mg/mL_7	1.396694215
3	6mg/mL_7	0.386792453
3	6mg/mL_7	0.260606061
3	4mg/mL_7	1.886597938
3	2mg/mL_7	1.424778761
3	2mg/mL_7	0.637681159
3	4mg/mL_7	1.580645161
3	6mg/mL_7	1.291925466
3	6mg/mL_7	0.694029851
3	4mg/mL_7	1.233333333
3	2mg/mL_8	1.563829787
3	4mg/mL_8	1.32231405
3	6mg/mL_8	0.405660377
3	6mg/mL_8	0.248484848
3	4mg/mL_8	1.742268041
3	2mg/mL_8	1.238938053
3	2mg/mL_8	0.615942029
3	4mg/mL_8	1.629032258
3	6mg/mL_8	1.335403727
3	6mg/mL_8	0.71641791
3	4mg/mL_8	1.308333333
4	4mg/mL_0	0
4	6mg/mL_0	0
4	6mg/mL_0	0
4	4mg/mL_0	0
4	2mg/mL_0	0
4	2mg/mL_0	0
4	4mg/mL_0	0
4	6mg/mL_0	0
4	6mg/mL_0	0
4	4mg/mL_0	0
4	2mg/mL_0	0
4	4mg/mL_1	0.363057325
4	6mg/mL_1	0.240837696
4	6mg/mL_1	0.2
4	4mg/mL_1	0.466165414
4	2mg/mL_1	0.548780488
4	2mg/mL_1	0.903743316
4	4mg/mL_1	0.54589372
4	6mg/mL_1	0.307692308
4	6mg/mL_1	0.335227273
4	4mg/mL_1	0.258241758
4	2mg/mL_1	0.142045455
4	4mg/mL_2	0.636942675
4	6mg/mL_2	0.445026178
4	6mg/mL_2	0.45
4	4mg/mL_2	0.804511278
4	2mg/mL_2	1.073170732
4	2mg/mL_2	1.272727273
4	4mg/mL_2	0.816425121
4	6mg/mL_2	0.478021978
4	6mg/mL_2	0.8125
4	4mg/mL_2	0.516483516
4	2mg/mL_2	0.221590909
4	4mg/mL_3	0.936305732
4	6mg/mL_3	0.539267016
4	6mg/mL_3	0.59375
4	4mg/mL_3	1.105263158
4	2mg/mL_3	1.396341463
4	2mg/mL_3	1.524064171
4	4mg/mL_3	0.937198068
4	6mg/mL_3	0.626373626
4	6mg/mL_3	1.039772727
4	4mg/mL_3	0.681318681
4	2mg/mL_3	0.323863636
4	4mg/mL_4	1.318471338
4	6mg/mL_4	0.685863874
4	6mg/mL_4	0.84375
4	4mg/mL_4	1.390977444
4	2mg/mL_4	1.567073171
4	2mg/mL_4	1.459893048
4	4mg/mL_4	1.144927536
4	6mg/mL_4	0.697802198
4	6mg/mL_4	1.170454545
4	4mg/mL_4	0.703296703
4	2mg/mL_4	0.426136364
4	4mg/mL_5	1.47133758
4	6mg/mL_5	0.837696335
4	6mg/mL_5	0.95
4	4mg/mL_5	1.593984962
4	2mg/mL_5	1.573170732
4	2mg/mL_5	1.497326203
4	4mg/mL_5	1.352657005
4	6mg/mL_5	0.736263736
4	6mg/mL_5	1.3125
4	4mg/mL_5	0.956043956
4	2mg/mL_5	0.511363636
4	4mg/mL_6	1.624203822
4	6mg/mL_6	1.031413613
4	6mg/mL_6	1.1125
4	4mg/mL_6	1.894736842
4	2mg/mL_6	1.658536585
4	2mg/mL_6	1.443850267
4	4mg/mL_6	1.410628019
4	6mg/mL_6	0.840659341
4	6mg/mL_6	1.375
4	4mg/mL_6	1.071428571
4	2mg/mL_6	0.596590909
4	4mg/mL_7	1.713375796
4	6mg/mL_7	1.188481675
4	6mg/mL_7	1.29375
4	4mg/mL_7	2.045112782
4	2mg/mL_7	1.676829268
4	2mg/mL_7	1.465240642
4	4mg/mL_7	1.45410628
4	6mg/mL_7	0.983516484
4	6mg/mL_7	1.505681818
4	4mg/mL_7	1.21978022
4	2mg/mL_7	0.704545455
4	4mg/mL_8	1.76433121
4	6mg/mL_8	1.329842932
4	6mg/mL_8	1.34375
4	4mg/mL_8	2.067669173
4	2mg/mL_8	1.768292683
4	2mg/mL_8	1.497326203
4	4mg/mL_8	1.512077295
4	6mg/mL_8	1.010989011
4	6mg/mL_8	1.613636364
4	4mg/mL_8	1.285714286
4	2mg/mL_8	0.698863636
5	4mg/mL_0	0
5	6mg/mL_0	0
5	6mg/mL_0	0
5	4mg/mL_0	0
5	2mg/mL_0	0
5	2mg/mL_0	0
5	4mg/mL_0	0
5	6mg/mL_0	0
5	6mg/mL_0	0
5	4mg/mL_0	0
5	2mg/mL_0	0
5	2mg/mL_1	0.135802469
5	4mg/mL_1	0.148648649
5	6mg/mL_1	0.018867925
5	6mg/mL_1	0.01754386
5	4mg/mL_1	0.010752688
5	2mg/mL_1	0.209677419
5	2mg/mL_1	0.203703704
5	4mg/mL_1	0.285714286
5	6mg/mL_1	0.041666667
5	6mg/mL_1	0.197368421
5	4mg/mL_1	0.441860465
5	2mg/mL_1	0.108695652
5	2mg/mL_2	0.271604938
5	4mg/mL_2	0.256756757
5	6mg/mL_2	0.056603774
5	6mg/mL_2	0.052631579
5	4mg/mL_2	0.053763441
5	2mg/mL_2	0.322580645
5	2mg/mL_2	0.314814815
5	4mg/mL_2	0.489795918
5	6mg/mL_2	0.145833333
5	6mg/mL_2	0.368421053
5	4mg/mL_2	0.604651163
5	2mg/mL_2	0.434782609
5	2mg/mL_3	0.481481481
5	4mg/mL_3	0.256756757
5	6mg/mL_3	0.018867925
5	6mg/mL_3	0.052631579
5	4mg/mL_3	0.107526882
5	2mg/mL_3	0.387096774
5	2mg/mL_3	0.388888889
5	4mg/mL_3	0.836734694
5	6mg/mL_3	0.166666667
5	6mg/mL_3	0.473684211
5	4mg/mL_3	0.930232558
5	2mg/mL_3	0.47826087
5	2mg/mL_4	0.604938272
5	4mg/mL_4	0.243243243
5	6mg/mL_4	0.056603774
5	6mg/mL_4	0.035087719
5	4mg/mL_4	0.204301075
5	2mg/mL_4	0.419354839
5	2mg/mL_4	0.388888889
5	4mg/mL_4	1.102040816
5	6mg/mL_4	0.270833333
5	6mg/mL_4	0.460526316
5	4mg/mL_4	1.046511628
5	2mg/mL_4	0.652173913
5	2mg/mL_5	0.691358025
5	4mg/mL_5	0.27027027
5	6mg/mL_5	0.056603774
5	6mg/mL_5	0.070175439
5	4mg/mL_5	0.279569892
5	2mg/mL_5	0.451612903
5	2mg/mL_5	0.407407407
5	4mg/mL_5	1.285714286
5	6mg/mL_5	0.25
5	6mg/mL_5	0.486842105
5	4mg/mL_5	1.23255814
5	2mg/mL_5	0.586956522
5	2mg/mL_6	0.765432099
5	4mg/mL_6	0.297297297
5	6mg/mL_6	0.094339623
5	6mg/mL_6	0.122807018
5	4mg/mL_6	0.322580645
5	2mg/mL_6	0.516129032
5	2mg/mL_6	0.444444444
5	4mg/mL_6	1.408163265
5	6mg/mL_6	0.291666667
5	6mg/mL_6	0.565789474
5	4mg/mL_6	1.581395349
5	2mg/mL_6	0.586956522
5	2mg/mL_7	0.814814815
5	4mg/mL_7	0.337837838
5	6mg/mL_7	0.094339623
5	6mg/mL_7	0.087719298
5	4mg/mL_7	0.419354839
5	2mg/mL_7	0.661290323
5	2mg/mL_7	0.518518519
5	4mg/mL_7	1.714285714
5	6mg/mL_7	0.375
5	6mg/mL_7	0.513157895
5	4mg/mL_7	1.581395349
5	2mg/mL_7	0.5
5	2mg/mL_8	0.777777778
5	4mg/mL_8	0.405405405
5	6mg/mL_8	0.150943396
5	6mg/mL_8	0.140350877
5	4mg/mL_8	0.591397849
5	2mg/mL_8	0.64516129
5	2mg/mL_8	0.444444444
5	4mg/mL_8	1.673469388
5	6mg/mL_8	0.5
5	6mg/mL_8	0.513157895
5	4mg/mL_8	1.906976744
5	2mg/mL_8	0.456521739
